Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;02 Aragón;;2009M09;1.050
Viviendas: Total;Total Nacional;02 Aragón;;2009M08;1.016
Viviendas: Total;Total Nacional;02 Aragón;;2009M07;1.268
Viviendas: Total;Total Nacional;02 Aragón;;2009M06;1.051
Viviendas: Total;Total Nacional;02 Aragón;;2009M05;1.150
Viviendas: Total;Total Nacional;02 Aragón;;2009M04;820
Viviendas: Total;Total Nacional;02 Aragón;;2009M03;855
Viviendas: Total;Total Nacional;02 Aragón;;2009M02;956
Viviendas: Total;Total Nacional;02 Aragón;;2009M01;893
Viviendas: Total;Total Nacional;02 Aragón;;2008M12;1.051
Viviendas: Total;Total Nacional;02 Aragón;;2008M11;1.042
Viviendas: Total;Total Nacional;02 Aragón;;2008M10;871
Viviendas: Total;Total Nacional;02 Aragón;;2008M09;1.164
Viviendas: Total;Total Nacional;02 Aragón;;2008M08;925
Viviendas: Total;Total Nacional;02 Aragón;;2008M07;1.164
Viviendas: Total;Total Nacional;02 Aragón;;2008M06;1.304
Viviendas: Total;Total Nacional;02 Aragón;;2008M05;1.518
Viviendas: Total;Total Nacional;02 Aragón;;2008M04;1.412
Viviendas: Total;Total Nacional;02 Aragón;;2008M03;1.314
Viviendas: Total;Total Nacional;02 Aragón;;2008M02;1.407
Viviendas: Total;Total Nacional;02 Aragón;;2008M01;1.720
Viviendas: Total;Total Nacional;02 Aragón;;2007M12;1.036
Viviendas: Total;Total Nacional;02 Aragón;;2007M11;1.334
Viviendas: Total;Total Nacional;02 Aragón;;2007M10;1.577
Viviendas: Total;Total Nacional;02 Aragón;;2007M09;1.412
Viviendas: Total;Total Nacional;02 Aragón;;2007M08;1.702
Viviendas: Total;Total Nacional;02 Aragón;;2007M07;1.853
Viviendas: Total;Total Nacional;02 Aragón;;2007M06;1.807
Viviendas: Total;Total Nacional;02 Aragón;;2007M05;2.262
Viviendas: Total;Total Nacional;02 Aragón;;2007M04;1.587
Viviendas: Total;Total Nacional;02 Aragón;;2007M03;2.283
Viviendas: Total;Total Nacional;02 Aragón;;2007M02;1.771
Viviendas: Total;Total Nacional;02 Aragón;;2007M01;2.131
